class,f1_score,precision,recall,support
Philonthus tenuicornis,0.73,0.67,0.81,27.0
Paederidus ruficollis,1.0,1.0,1.0,49.0
Philonthus splendens,0.94,0.97,0.91,35.0
Pseudomedon obscurellus,0.98,1.0,0.97,29.0
Staphylinus erythropterus,0.93,1.0,0.88,8.0
Lobrathium multipunctum,0.95,0.95,0.95,22.0
Philonthus nitidicollis,0.5,0.5,0.5,2.0
Xantholinus dvoraki,0.82,0.7,1.0,7.0
Lathrobium geminum,0.74,0.76,0.72,18.0
Paederus riparius,0.98,1.0,0.96,56.0
Heterothops praevius,0.78,0.75,0.82,11.0
Gabrius osseticus,1.0,1.0,1.0,13.0
Philonthus carbonarius,0.82,0.9,0.75,71.0
Quedius semiaeneus,0.9,0.82,1.0,9.0
Cafius xantholoma,1.0,1.0,1.0,58.0
Othius punctulatus,1.0,1.0,1.0,11.0
Heterothops binotatus,0.65,0.62,0.67,15.0
Philonthus succicola,0.72,0.77,0.68,44.0
Philonthus rectangulus,1.0,1.0,1.0,16.0
Ocypus ophthalmicus,1.0,1.0,1.0,6.0
Quedius maurorufus,0.85,0.88,0.82,17.0
Quedius suturalis,0.88,0.83,0.94,16.0
Ontholestes tessellatus,1.0,1.0,1.0,7.0
Bisnius subuliformis,1.0,1.0,1.0,13.0
Philonthus lepidus,1.0,1.0,1.0,12.0
Heterothops quadripunctulus,0.96,0.92,1.0,12.0
Philonthus addendus,0.71,0.85,0.61,18.0
Quedius auricomus,1.0,1.0,1.0,12.0
Philonthus punctus,0.88,0.88,0.88,8.0
Quedius levicollis,0.94,1.0,0.89,9.0
Ocypus olens,1.0,1.0,1.0,5.0
Ocypus aeneocephalus,0.9,0.82,1.0,9.0
Ochthephilum fracticorne,0.93,0.92,0.95,37.0
Quedius scitus,0.95,0.9,1.0,9.0
Philonthus mannerheimi,0.67,0.53,0.91,11.0
Acylophorus wagenschieberi,1.0,1.0,1.0,8.0
Astenus immacullatus,0.98,1.0,0.96,26.0
Quedius brevicornis,0.88,0.92,0.85,13.0
Quedius fuliginosus,0.93,0.88,1.0,14.0
Tetartopeus terminatus,0.96,0.96,0.96,45.0
Platydracus fulvipes,1.0,1.0,1.0,7.0
Philonthus cruentatus,0.76,0.62,1.0,8.0
Quedius scintillans,0.77,0.92,0.67,18.0
Megalinus glabratus,1.0,1.0,1.0,7.0
Heterothops niger,0.84,0.8,0.89,9.0
Quedius lateralis,0.96,0.92,1.0,12.0
Philonthus corruscus,1.0,1.0,1.0,4.0
Tasgius morsitans,1.0,1.0,1.0,9.0
Medon ripicola,0.8,0.86,0.75,16.0
Gyrohypnus punctulatus,0.73,0.75,0.71,17.0
Quedius cinctus,0.9,0.87,0.93,14.0
Philonthus longicornis,0.64,0.89,0.5,16.0
Astenus gracilis,0.56,0.55,0.58,19.0
Lathrobium brunnipes,0.98,1.0,0.97,58.0
Bisnius pseudoparcus,0.77,0.62,1.0,5.0
Quedius infuscatus,0.89,0.8,1.0,4.0
Quedius maurus,0.9,0.9,0.9,10.0
Quedius persimilis,0.83,0.83,0.83,12.0
Gabrius breviventer,0.57,0.44,0.82,17.0
Scopaeus minutus,0.88,0.79,1.0,19.0
Bisnius sordidus,0.91,0.9,0.92,50.0
Ocypus nitens,0.96,1.0,0.92,13.0
Tasgius melanarius,0.83,0.77,0.91,11.0
Gauropterus fulgidus,1.0,1.0,1.0,14.0
Xantholinus gallicus,0.67,1.0,0.5,2.0
Gabrius nigritulus,0.2,0.75,0.12,26.0
Philonthus marginatus,0.99,0.97,1.0,33.0
Philonthus rubripennis,0.92,0.85,1.0,17.0
Lathrobium fulvipenne,0.94,0.92,0.96,49.0
Sunius bicolor,0.83,0.74,0.94,18.0
Tasgius globulifer,0.83,0.71,1.0,5.0
Astenus procerus,0.93,1.0,0.87,15.0
Gabrius appendiculatus,0.78,0.82,0.75,12.0
Philonthus rufipes,0.64,0.7,0.58,12.0
Quedius boops,0.75,0.67,0.86,7.0
Quedius cruentus,0.89,0.89,0.89,19.0
Velleius dilatatus,1.0,1.0,1.0,5.0
Neobisnius lathrobioides,0.98,1.0,0.97,30.0
Quedius fulvicollis,1.0,1.0,1.0,2.0
Medon brunneus,0.9,1.0,0.81,16.0
Philonthus jurgans,0.13,0.14,0.12,8.0
Scopaeus sulcicollis,0.8,0.92,0.71,17.0
Philonthus quisquiliarius,0.71,0.61,0.85,13.0
Gyrohypnus angustatus,0.43,0.6,0.33,9.0
Staphylinus caesareus,0.75,1.0,0.6,5.0
Quedius xanthopus,0.93,0.9,0.95,20.0
Lithocharis ochracea,0.96,1.0,0.92,39.0
Bisnius parcus,0.77,0.83,0.71,7.0
Philonthus binotatus,0.75,0.75,0.75,4.0
Quedius nigrocaeruleus,0.89,0.8,1.0,4.0
Pseudomedon obsoletus,0.96,0.92,1.0,12.0
Philonthus varians,0.8,0.71,0.92,13.0
Gyrohypnus atratus,1.0,1.0,1.0,10.0
Ontholestes murinus,0.96,0.92,1.0,11.0
Xantholinus laevigatus,0.57,0.5,0.67,6.0
Philonthus corvinus,0.88,0.88,0.88,8.0
Quedius semiobscurus,1.0,1.0,1.0,8.0
Heterothops stiglundbergi,1.0,1.0,1.0,3.0
Philonthus concinnus,0.9,0.82,1.0,14.0
Philonthus nigrita,1.0,1.0,1.0,11.0
Nudobius lentus,0.96,1.0,0.93,14.0
Philonthus debilis,0.93,0.87,1.0,20.0
Lithocharis nigriceps,1.0,1.0,1.0,16.0
Philonthus furcifer,0.62,0.8,0.5,8.0
Philonthus confinis,0.6,0.43,1.0,3.0
Bisnius cephalotes,0.87,0.8,0.94,35.0
Philonthus fumarius,1.0,1.0,1.0,16.0
Lathrobium rufipenne,1.0,1.0,1.0,22.0
Ocypus picipennis,0.9,1.0,0.82,11.0
Astenus lyonessius,0.71,0.77,0.67,30.0
Ocypus brunnipes,1.0,1.0,1.0,11.0
Rugilus erichsoni,0.89,0.9,0.87,31.0
Atrecus affinis,0.95,0.9,1.0,9.0
Bisnius nitidulus,0.95,0.96,0.93,28.0
Scopaeus laevigatus,1.0,1.0,1.0,2.0
Philonthus parvicornis,0.9,0.82,1.0,9.0
Philonthus politus,0.7,0.82,0.61,51.0
Othius angustus,0.81,0.93,0.72,18.0
Philonthus ventralis,0.74,0.88,0.64,11.0
Heterothops minutus,0.91,1.0,0.83,6.0
Philonthus micans,0.94,1.0,0.89,18.0
Quedius nitipennis,0.64,0.89,0.5,16.0
Acylophorus glaberrimus,0.92,0.86,1.0,12.0
Medon apicalis,0.8,0.67,1.0,12.0
Leptacinus formicetorum,0.94,0.89,1.0,8.0
Gyrohypnus fracticornis,0.8,0.8,0.8,15.0
Gabrius keysianus,0.94,0.89,1.0,8.0
Tetartopeus quadratus,0.96,0.94,0.97,35.0
Philonthus salinus,0.92,1.0,0.85,13.0
Philonthus albipes,0.91,0.83,1.0,30.0
Leptacinus intermedius,0.67,0.5,1.0,6.0
Staphylinus dimidiaticornis,0.73,0.57,1.0,4.0
Euryporus picipes,1.0,1.0,1.0,8.0
Philonthus nitidus,0.97,0.94,1.0,32.0
Quedius boopoides,0.62,0.5,0.83,6.0
Tasgius ater,1.0,1.0,1.0,7.0
Leptacinus batychrus,0.72,0.93,0.59,22.0
Gabrius austriacus,0.67,0.67,0.67,6.0
Philonthus decorus,0.84,0.97,0.73,45.0
Quedius fumatus,1.0,1.0,1.0,16.0
Xantholinus linearis,0.8,1.0,0.67,12.0
Philonthus atratus,0.89,0.97,0.82,34.0
Phacophallus parumpunctatus,0.71,0.55,1.0,6.0
Gabrius exiguus,0.0,0.0,0.0,3.0
Remus sericeus,1.0,1.0,1.0,24.0
Platydracus stercorarius,1.0,1.0,1.0,10.0
Emus hirtus,1.0,1.0,1.0,4.0
Philonthus sanguinolentus,0.97,1.0,0.94,17.0
Neobisnius villosulus,1.0,1.0,1.0,7.0
Gabronthus thermarum,1.0,1.0,1.0,5.0
Quedius fulgidus,1.0,1.0,1.0,5.0
Philonthus ebeninus,1.0,1.0,1.0,6.0
Bisnius puella,0.8,0.75,0.86,7.0
Quedius lucidulus,0.8,0.7,0.94,17.0
Othius subuliformis,0.74,0.62,0.91,11.0
Philonthus laminatus,0.94,0.97,0.91,34.0
Quedius umbrinus,0.89,0.94,0.85,20.0
Ochthephilum collare,0.0,0.0,0.0,2.0
Ocypus fuscatus,0.36,0.24,0.75,8.0
Leptacinus pusillus,1.0,1.0,1.0,6.0
Lathrobium fovulum,0.91,0.93,0.9,29.0
Quedius brevis,0.93,1.0,0.88,8.0
Paederus littoralis,1.0,1.0,1.0,38.0
Achenium humile,1.0,1.0,1.0,8.0
Paederus fuscipes,0.98,0.97,1.0,28.0
Quedius truncicola,1.0,1.0,1.0,4.0
Quedius puncticollis,0.94,0.94,0.94,16.0
Quedius microps,0.98,0.95,1.0,21.0
Quedius longicornis,1.0,1.0,1.0,15.0
Quedius simplicifrons,0.8,0.75,0.86,7.0
Astenus pulchellus,0.91,0.83,1.0,25.0
Quedius mesomelinus,0.89,1.0,0.8,15.0
Dinothenarus pubescens,1.0,1.0,1.0,8.0
Xantholinus tricolor,0.89,0.92,0.86,14.0
Philonthus cognatus,0.93,0.98,0.89,70.0
Rugilus orbiculatus,0.9,0.93,0.88,59.0
Erichsonius cinerascens,0.99,0.97,1.0,36.0
Medon castaneus,1.0,1.0,1.0,9.0
Gabrius splendidulus,0.88,0.79,1.0,19.0
Platydracus latebricola,1.0,1.0,1.0,5.0
Rugilus rufipes,0.98,0.96,1.0,49.0
Creophilus maxillosus,1.0,1.0,1.0,9.0
Lathrobium elongatum,0.9,0.93,0.88,48.0
Philonthus micantoides,0.62,0.44,1.0,4.0
Xantholinus longiventris,0.82,0.82,0.82,11.0
Lathrobium pallidum,0.82,0.69,1.0,9.0
Sunius melanocephalus,0.86,0.9,0.83,23.0
Quedius molochinus,0.89,0.92,0.86,14.0
Gabrius trossulus,0.78,0.69,0.9,10.0
Heterothops dissimilis,0.44,1.0,0.29,7.0
Philonthus intermedius,0.8,0.7,0.93,15.0
Philonthus alpinus,0.5,0.5,0.5,4.0
Quedius picipes,1.0,1.0,1.0,12.0
Lathrobium impressum,0.98,0.98,0.98,54.0
Philonthus discoideus,1.0,1.0,1.0,20.0
Quedius nigriceps,1.0,1.0,1.0,9.0
Atrecus longiceps,1.0,1.0,1.0,5.0
Quedius curtipennis,0.77,0.83,0.71,7.0
Bisnius fimetarius,0.91,0.95,0.88,60.0
Lathrobium dilutum,0.0,0.0,0.0,2.0
micro avg,0.89,0.89,0.89,3381.0
